"AITARENA"	"AMARENA"	"SEXUA"	"JAIOTERRIA"	"ALTUERA"	"PISUA"
"1"	174	156	"emakumezkoa"	2	165	65
"2"	177	159	"gizonezkoa"	2	170	67
"3"	173	161	"gizonezkoa"	1	168	51
"4"	174	156	"gizonezkoa"	2	167	69
"5"	160	165	"gizonezkoa"	1	162	54
"6"	167	157	"gizonezkoa"	3	163	61
"7"	171	162	"emakumezkoa"	1	165	65
"8"	174	158	"gizonezkoa"	3	168	76
"9"	175	162	"emakumezkoa"	3	168	67
"10"	174	161	"emakumezkoa"	1	167	69
"11"	175	162	"emakumezkoa"	3	168	66
"12"	176	161	"gizonezkoa"	2	170	81
"13"	180	156	"gizonezkoa"	2	170	92
"14"	172	171	"emakumezkoa"	3	170	85
"15"	171	158	"emakumezkoa"	1	164	58
"16"	172	160	"emakumezkoa"	3	165	65
"17"	172	157	"gizonezkoa"	2	166	72
"18"	175	158	"emakumezkoa"	2	166	62
"19"	173	160	"gizonezkoa"	2	168	86
"20"	173	164	"emakumezkoa"	1	165	65
"21"	171	167	"emakumezkoa"	2	167	69
"22"	177	160	"emakumezkoa"	2	168	74
"23"	172	161	"emakumezkoa"	3	166	62
"24"	180	164	"gizonezkoa"	1	174	108
"25"	174	159	"gizonezkoa"	3	168	75
"26"	169	167	"gizonezkoa"	2	168	77
"27"	174	166	"emakumezkoa"	2	169	63
"28"	166	160	"gizonezkoa"	2	164	68
"29"	168	159	"emakumezkoa"	3	162	44
"30"	172	163	"emakumezkoa"	2	166	72
"31"	181	161	"gizonezkoa"	2	173	91
"32"	166	156	"gizonezkoa"	2	162	54
"33"	175	162	"emakumezkoa"	2	168	66
"34"	174	166	"gizonezkoa"	2	171	107
"35"	175	163	"gizonezkoa"	2	170	96
"36"	168	164	"emakumezkoa"	3	164	58
"37"	171	167	"gizonezkoa"	3	169	103
"38"	164	159	"emakumezkoa"	1	160	30
"39"	168	158	"gizonezkoa"	2	164	68
"40"	171	166	"emakumezkoa"	2	167	64
"41"	174	162	"emakumezkoa"	1	167	69
"42"	180	165	"gizonezkoa"	1	174	98
"43"	176	159	"gizonezkoa"	2	169	78
"44"	171	163	"emakumezkoa"	2	166	61
"45"	171	159	"emakumezkoa"	3	164	58
"46"	170	162	"emakumezkoa"	2	165	65
"47"	169	156	"emakumezkoa"	1	162	44
"48"	165	156	"gizonezkoa"	2	161	47
"49"	178	159	"emakumezkoa"	2	168	76
"50"	178	155	"gizonezkoa"	1	169	93
"51"	174	164	"emakumezkoa"	2	168	76
